profile,weights,degree,edges,law,baseline_nu,fixed_probability_lower,fixed_probability_upper,global_lower,global_upper,certified_improvement,raw_sha256,global_source_sha256,result_sha256
yves,6382859602928769/576460752303423488;5966021187881337/36028797018963968;3087021481311371/9007199254740992;1186139870435839/2251799813685248;5081816339657641/2251799813685248,5,4,gks,0.23093488256882574,0.1521787516511509,0.15217877011684483,0.13980099706866417,0.1398010292059101,True,96d890fe70f765e246be0217d3f1713c6e9de45e2aca63528b46f78b6a02e036,1f447fcb2ce3a61e1e5b1d5f9e0cfb25e2d541fb9b4a5b3dce3ae1c26e62d8d0,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
yves,6382859602928769/576460752303423488;5966021187881337/36028797018963968;3087021481311371/9007199254740992;1186139870435839/2251799813685248;5081816339657641/2251799813685248,5,5,cycle_q,0.1033076552863349,0.10306856036540328,0.10306858659913343,0.04039918483651005,0.04039922291900902,True,b7213816570f020f71638bd1623cd2c0cbe158e1015c242c0b52883bed3e5d3b,436277fe3e285ec132bc8b54dcf73574a8a690cdff2518416958668ca9eeb43c,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
chimera,7381469658099713/9007199254740992;2502323073434649/2251799813685248;7464486327560581/4503599627370496;7582213299253705/4503599627370496;3671667027233415/1125899906842624,5,4,gks,0.4804466435885518,0.36711135737556366,0.3671113956586043,0.28907930476063964,0.2890793408857746,True,960013764373ebd44162aae72e60b0b4a15f72545a78718cb36038a8b6d4b163,4a188bf853f5be5209ba7288b2e49ea6d882b05b303a9a4b97ffdd7bec7a8278,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
chimera,7381469658099713/9007199254740992;2502323073434649/2251799813685248;7464486327560581/4503599627370496;7582213299253705/4503599627370496;3671667027233415/1125899906842624,5,5,cycle_q,0.29247580933168044,0.2881229286034511,0.28812298004937625,0.17706389446155663,0.1770639188504296,True,f2dcac2ae7c026bff09206750985c691181f7842f08a1034cba3b8a91005b172,bbd86a5e139e4c3b44b334b5a97b1dd9c570e116b5ca7acb51b8dddf7baa60a1,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
onehub,1;1;1;1;8,5,4,gks,0.43150550888968564,0.24999999056255828,0.25000002512343766,0.19960733154204743,0.1996073640347553,True,9b45c60a8eaf3b21c7ee2b48458c087a50843fc10a2a0b3b20a41ba1074c3131,f4e4cb210c2180e048b008b72a5854fd47a1d997d433bf47e1f7c61b6fb43a8e,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
onehub,1;1;1;1;8,5,5,cycle_q,0.25000000000000006,0.2499999839377223,0.25000002522253506,0.09178684973321571,0.09178686753777579,False,85f93ff5a5a4a33bc78abb054fd743a95d6dfb0faa8a7800be6b45a031f42bc1,b0302d6ec683eeaaec4b1802cc1d5d92a245f25d249247a1e1ba792393544366,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
uniform,1;1;1;1;1,5,4,gks,0.6000000000000003,0.5999999781198379,0.6000000601336958,0.35714285703794973,0.357142893975416,False,a1f37d181227e7e9a8c278693348531b0fc4079fa887bef449c9ba2ef0c79701,deb2ac594223767f25dc9840900021a471658656a6b63cd110f361a9f0342b25,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
uniform,1;1;1;1;1,5,5,cycle_q,0.20000000000000004,0.1999999999686888,0.2000000206852391,0.19999999993146897,0.20000002604546707,False,081fc8537905d9a4779d911849ee94b790125de57c4b49317a182058137a28af,3bf288eb513562b8b9968d6d51cea8db06d56d615e11ffc70479bd311c433567,2cb2e7ecb3ae6d94cdc413121ca46c93866c06e920bee3d532cf8acac9e1813e
