case	weights	metric	sampler	alpha	value	edge_marginal_min	optimizer_converged
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.15	0.4559189781	0.08383408794	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.20	0.4552498773	0.07618622409	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.25	0.4548849581	0.06918336064	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.30	0.4547654621	0.06278044076	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.35	0.4548399308	0.05693386502	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.40	0.4550639717	0.05160178739	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.45	0.455399871	0.04674432761	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.50	0.4558160842	0.04232371232	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.55	0.4562866443	0.03830435634	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.60	0.4567905246	0.03465289474	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.65	0.4573109938	0.03133817532	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.70	0.457834991	0.02833121965	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.75	0.4583525413	0.02560516024	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.80	0.4588562259	0.02313515971	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.85	0.4593407127	0.0208983174	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.90	0.4598023497	0.01887356759	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	1.95	0.460238819	0.01704157286	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.00	0.4606488462	0.01538461538	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.05	0.4610319604	0.01388648841	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.10	0.461388298	0.01253238958	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.15	0.4617184441	0.01130881733	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.20	0.4620233058	0.01020347148	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.25	0.4623040116	0.0092051584	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.30	0.4625618329	0.008303701373	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.35	0.4627981233	0.007489856286	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.40	0.463014272	0.006755232747	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.45	0.4632116688	0.006092220613	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.50	0.4633916786	0.005493921811	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.55	0.4635556229	0.004954087276	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.60	0.4637047668	0.004467058797	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.65	0.4638403109	0.004027715513	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.70	0.4639633861	0.003631424814	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.75	0.4640750516	0.003273997354	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.80	0.4641762942	0.002951645914	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.85	0.4642680298	0.002660947842	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.90	0.464351105	0.002398810802	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	2.95	0.4644263	0.002162441588	not-applicable
two-scale	1,1,8,8	expected_normalized_spectral	ptree	3.00	0.4644943323	0.001949317739	not-applicable
