matrix,family,trajectory,evaluated_law,actual_fill,actual_iterations,actual_full_census_J,eligible_stars,nu_sum,nu_sum_star_sampling_SE,nu_covered_stars,mean_rho,rho_covered_stars,estimated_J_sum,draws,normalization,matrix_sha256,rhs_sha256
iter0040,ipm,gks,heavy_core_k2,,,,524284,,,,0.40511028476992195,524284,279228.98046628654,1472,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,trace_cycle,gks,,,,524284,239343.47445980427,22051.019146279483,524284,0.9082665246487089,524284,931795.4278390179,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,trace_cycle,prufer,,,,524284,227039.913335553,17391.457605368538,524284,0.9246433368410677,524284,1000400.8751578198,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,trace_cycle,trace_cycle,5150835,27,621106.7813833652,524284,155776.49987713684,24340.744132692565,524284,0.6886055612446855,524284,618811.7179234881,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,trace_cycle,heavy_core_k2,,,,524284,,,,0.7075252418791705,524284,642852.52343084,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,heavy_core_k2,gks,,,,524284,247607.9801365687,14625.314757514503,524284,0.9473483647796197,524284,1022763.1866808962,1472,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,heavy_core_k2,prufer,,,,524284,235647.16084976844,9213.011077986483,524284,0.9716215288421549,524284,1127569.9227394937,1472,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,heavy_core_k2,trace_cycle,,,,524284,172221.1564814299,12134.57036957488,524284,0.8292243521677272,524284,834300.5886707506,1472,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,heavy_core_k2,heavy_core_k2,5183819,27,,524284,,,,0.809993421741962,524284,795592.4718011569,1472,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,prufer,gks,,,,524284,195069.33065421513,32174.301648371584,524284,0.7621638047473605,524284,656060.3763018844,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,prufer,prufer,4716448,58,762831.7896579478,524284,190637.90720066483,24566.654672299366,524284,0.7859195138857058,524284,739584.8237270813,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,prufer,trace_cycle,,,,524284,130045.82377650213,36365.26078601527,524284,0.5250343902308033,524284,405984.0362141836,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
iter0040,ipm,prufer,heavy_core_k2,,,,524284,,,,0.5273799997631516,524284,410344.7515848383,1536,ideal clique,fae9a4b9ebf784bf6ae7cf52ada98df8ff4598ec5b8b16ea9ff088bca092fcb2,90373d80697398004afc154826ff3ff9f75753b12b81377d57d1bcabea2c28f8
