matrix,threads,seed,arm,repetitions,setup_ms,setup_ratio,find_partition_ms,find_partition_ratio,eliminate_ms,eliminate_ratio,sptrsv_setup_ms,sptrsv_setup_ratio,pcg_ms,pcg_ratio,total_ms,total_ratio
as-Skitter,36,42,base,8,788.586,1.0,84.03200000000001,1.0,172.70800000000003,1.0,88.7715,1.0,23.093000000000004,1.0,811.0284999999999,1.0
as-Skitter,36,42,t128,8,812.0695000000001,1.0297792504558794,85.41900000000001,1.0165056169078446,157.9235,0.9143959747087568,86.541,0.9748736925702505,23.459000000000003,1.0158489585588706,840.0229999999999,1.035750284977655
as-Skitter,36,42,t256,8,812.8344999999999,1.030749341225941,83.03450000000001,0.988129522086824,154.095,0.8922285012854064,87.4665,0.9852993359355198,22.505499999999998,0.97455939029143,835.15,1.0297418648049976
as-Skitter,36,42,t512,8,796.1,1.0095284471192743,83.7735,0.9969237909367858,156.7545,0.9076273247330754,86.9155,0.9790923888860725,23.143,1.0021651582730697,819.1465000000001,1.010009512612689
as-Skitter,36,42,t1024,8,799.4575,1.0137860677212123,81.7655,0.973028132140137,173.50150000000002,1.004594460013433,85.8215,0.9667686138006004,23.0435,0.9978564933096609,822.3645,1.0139773139908155
as-Skitter,36,43,base,8,806.4480000000001,1.0,82.12950000000001,1.0,154.96300000000002,1.0,86.9085,1.0,22.553,1.0,829.4205,1.0
as-Skitter,36,43,t128,8,804.7139999999999,0.9978498303672398,79.5635,0.9687566586914568,172.7525,1.1147983712240985,85.0595,0.9787247507435981,22.0985,0.9798474704030506,826.812,0.9968550331225235
as-Skitter,36,43,t256,8,783.422,0.9714476320853916,86.16,1.049074936533158,149.4785,0.9646076805430972,86.02,0.9897766041296305,22.310499999999998,0.9892475502150488,805.7325000000001,0.9714403007883217
as-Skitter,36,43,t512,8,790.2325000000001,0.9798926899192508,80.939,0.9855045994435615,159.293,1.0279421539335194,86.4,0.9941490187956299,21.927500000000002,0.9722653305546934,813.0065,0.9802102793456395
as-Skitter,36,43,t1024,8,804.562,0.9976613495228458,82.81299999999999,1.0083222228310167,162.31099999999998,1.0474177706936492,85.9685,0.9891840268788439,22.3825,0.9924400301511994,827.3975,0.9975609476737072
